Number,Interests,Information Visualization,Statistics,Mathematics,Artistic,User,Programming,Graphics,HCI,User Experience,Alias
1,"[""visual design"", ""filmmaking""] ",7,3,3,9,6,2,1,4,8,Aldor
2,"[""aviation"", ""cooking"", ""fitness"", ""sports"", ""art""] ",5,4,3,6,7,3,1,4,8,Aragorn
3,[],3,3,3,3,8,8,3,3,3,Arwen
4,"[""graphic design"", ""3D modeling""]",3,4,4,6,8,2,1,2,7,Balin
5,"[""science"", ""sports"", ""fashion"", ""travel""]",3,5,6,8,6,3,5,3,5,Bereg
6,"[""graphic illustration"", ""hacking"", ""prototyping"", ""videogames""]",4,4,5,6,10,7,7,6,7,Bifur
7,"[""javascript"", ""design"", ""open source"", ""freelance"", ""typography""]",6,5,8,7,8,7,7,7,8,Bilbo
8,[],4,4,6,5,7,7,3,3,2,Bofur
9,"[""travel"", ""sports"", ""running"", ""yoga"", ""cycling"", ""photography"", ""coffee"", ""gender equality"", ""diversity"", ""education"", ""human rights""]",4,6,6,2,6,5,1,5,8,Bombadil
10,"[""sports"", ""painting"", ""illustration"", ""programming""]",1,4,5,10,7,4,2,3,6,Bombur
11,"[""reading"", ""music"", ""art"", ""bikes"", ""travel"", ""technology"", ""programming"", ""humor""]",2,4,2,6,6,2,1,4,10,Borin
12,"[""web development"", ""competitive programming"", ""data science"" ""machine learning""]",3,5,5,1,7,8,2,6,5,Boromir
13,"[""art"", ""culture"", ""education"", ""science"", ""technology""]",3,9,9,3,10,10,3,3,9,Bounder
14,"[""digital democracy"", ""digital literacy"", ""accessibility"", ""usability"", ""tvshows"", ""travel"", ""cooking""]",7,6,5,6,8,4,1,6,7,Celeborn
15,[],3,2,5,6,7,1,2,3,8,Damrod
16,"[""reading"", ""magic"", ""training"", ""nature""]",1,3,3,5,8,5,1,1,2,Deagol
17,[],7,8,6,2,8,9,6,3,6,Denethor
18,[],4,4,4,6,5,4,1,5,6,Dorlas
